310M200US24780,24780,170485,"Greenville, NC Metro Area",Greenville NC Metro Area,Greenville NC
310M200US20700,20700,168947,"East Stroudsburg, PA Metro Area",East Stroudsburg Metro Area,East Stroudsburg
310M200US43580,43580,168526,"Sioux City, IA-NE-SD Metro Area",Sioux City Metro Area,Sioux City
310M200US47940,47940,168271,"Waterloo-Cedar Falls, IA Metro Area",Waterloo Metro Area,Waterloo
310M200US36780,36780,167860,"Oshkosh-Neenah, WI Metro Area",Oshkosh Metro Area,Oshkosh
310M200US49700,49700,167361,"Yuba City, CA Metro Area",Yuba City Metro Area,Yuba City
310M200US10180,10180,166202,"Abilene, TX Metro Area",Abilene Metro Area,Abilene
310M200US17860,17860,165776,"Columbia, MO Metro Area",Columbia MO Metro Area,Columbia MO
310M200US20100,20100,165030,"Dover, DE Metro Area",Dover Metro Area,Dover
310M200US20740,20740,162464,"Eau Claire, WI Metro Area",Eau Claire Metro Area,Eau Claire
310M200US39460,39460,161276,"Punta Gorda, FL Metro Area",Punta Gorda Metro Area,Punta Gorda
310M200US14020,14020,161101,"Bloomington, IN Metro Area",Bloomington IN Metro Area,Bloomington IN
310M200US13740,13740,160991,"Billings, MT Metro Area",Billings Metro Area,Billings
310M200US13460,13460,160565,"Bend-Redmond, OR Metro Area",Bend Metro Area,Bend
310M200US14540,14540,160455,"Bowling Green, KY Metro Area",Bowling Green Metro Area,Bowling Green
310M200US27500,27500,160345,"Janesville-Beloit, WI Metro Area",Janesville Metro Area,Janesville
310M200US27100,27100,160126,"Jackson, MI Metro Area",Jackson MI Metro Area,Jackson MI
310M200US39380,39380,160048,"Pueblo, CO Metro Area",Pueblo Metro Area,Pueblo
310M200US47220,47220,157342,"Vineland-Bridgeton, NJ Metro Area",Vineland Metro Area,Vineland
310M200US10500,10500,157177,"Albany, GA Metro Area",Albany GA Metro Area,Albany GA
310M200US27980,27980,156704,"Kahului-Wailuku-Lahaina, HI Metro Area",Kahului Metro Area,Kahului
310M200US35660,35660,156290,"Niles-Benton Harbor, MI Metro Area",Niles Metro Area,Niles
310M200US26980,26980,155868,"Iowa City, IA Metro Area",Iowa City Metro Area,Iowa City
310M200US44300,44300,154460,"State College, PA Metro Area",State College Metro Area,State College
310M200US10780,10780,154147,"Alexandria, LA Metro Area",Alexandria Metro Area,Alexandria
310M200US19460,19460,153682,"Decatur, AL Metro Area",Decatur AL Metro Area,Decatur AL
310M200US12620,12620,153649,"Bangor, ME Metro Area",Bangor Metro Area,Bangor
310M200US15500,15500,152472,"Burlington, NC Metro Area",Burlington NC Metro Area,Burlington NC
310M200US25260,25260,151806,"Hanford-Corcoran, CA Metro Area",Hanford Metro Area,Hanford
310M200US40580,40580,151620,"Rocky Mount, NC Metro Area",Rocky Mount Metro Area,Rocky Mount
310M200US31460,31460,151435,"Madera, CA Metro Area",Madera Metro Area,Madera
310M200US33780,33780,151408,"Monroe, MI Metro Area",Monroe MI Metro Area,Monroe MI
310M200US48660,48660,150862,"Wichita Falls, TX Metro Area",Wichita Falls Metro Area,Wichita Falls
310M200US16540,16540,150594,"Chambersburg-Waynesboro, PA Metro Area",Chambersburg Metro Area,Chambersburg
310M200US27620,27620,150003,"Jefferson City, MO Metro Area",Jefferson City Metro Area,Jefferson City
310M200US21060,21060,149388,"Elizabethtown-Fort Knox, KY Metro Area",Elizabethtown Metro Area,Elizabethtown
310M200US45500,45500,149358,"Texarkana, TX-AR Metro Area",Texarkana Metro Area,Texarkana
310M200US24300,24300,147432,"Grand Junction, CO Metro Area",Grand Junction Metro Area,Grand Junction
310M200US33260,33260,147245,"Midland, TX Metro Area",Midland TX Metro Area,Midland TX
310M200US22520,22520,147122,"Florence-Muscle Shoals, AL Metro Area",Florence AL Metro Area,Florence AL
310M200US48540,48540,146986,"Wheeling, WV-OH Metro Area",Wheeling Metro Area,Wheeling
310M200US20020,20020,146425,"Dothan, AL Metro Area",Dothan Metro Area,Dothan
310M200US42140,42140,145400,"Santa Fe, NM Metro Area",Santa Fe Metro Area,Santa Fe
310M200US25620,25620,144928,"Hattiesburg, MS Metro Area",Hattiesburg Metro Area,Hattiesburg
310M200US12220,12220,144405,"Auburn-Opelika, AL Metro Area",Auburn Metro Area,Auburn
310M200US27780,27780,142448,"Johnstown, PA Metro Area",Johnstown Metro Area,Johnstown
310M200US19140,19140,142060,"Dalton, GA Metro Area",Dalton Metro Area,Dalton
310M200US41100,41100,141902,"St. George, UT Metro Area",St. George Metro Area,St. George
310M200US36220,36220,141542,"Odessa, TX Metro Area",Odessa Metro Area,Odessa
